"","Date","MSFT","SP500"
"1","1990-01-02",0.46,329.08
"2","1990-02-01",0.49,331.89
"3","1990-03-01",0.55,339.94
"4","1990-04-02",0.58,330.8
"5","1990-05-01",0.73,361.23
"6","1990-06-01",0.76,358.02
"7","1990-07-02",0.66,356.15
"8","1990-08-01",0.61,322.56
"9","1990-09-04",0.63,306.05
"10","1990-10-01",0.63,304
"11","1990-11-01",0.72,322.22
"12","1990-12-03",0.75,330.22
"13","1991-01-02",0.98,343.93
"14","1991-02-01",1.03,367.07
"15","1991-03-01",1.06,375.22
"16","1991-04-01",0.99,375.35
"17","1991-05-01",1.09,389.83
"18","1991-06-03",1.02,371.16
"19","1991-07-01",1.1,387.81
"20","1991-08-01",1.27,395.43
"21","1991-09-03",1.33,387.86
"22","1991-10-01",1.4,392.45
"23","1991-11-01",1.45,375.22
"24","1991-12-02",1.66,417.09
"25","1992-01-02",1.8,408.78
"26","1992-02-03",1.84,412.7
"27","1992-03-02",1.77,403.69
"28","1992-04-01",1.65,414.95
"29","1992-05-01",1.81,415.35
"30","1992-06-01",1.57,408.14
"31","1992-07-01",1.63,424.21
"32","1992-08-03",1.67,414.03
"33","1992-09-01",1.8,417.8
"34","1992-10-01",1.99,418.68
"35","1992-11-02",2.09,431.35
"36","1992-12-01",1.91,435.71
"37","1993-01-04",1.94,438.78
"38","1993-02-01",1.87,443.38
"39","1993-03-01",2.07,451.67
"40","1993-04-01",1.91,440.19
"41","1993-05-03",2.07,450.19
"42","1993-06-01",1.97,450.53
"43","1993-07-01",1.66,448.13
"44","1993-08-02",1.68,463.56
"45","1993-09-01",1.85,458.93
"46","1993-10-01",1.79,467.83
"47","1993-11-01",1.79,461.79
"48","1993-12-01",1.81,466.45
"49","1994-01-03",1.91,481.61
"50","1994-02-01",1.85,467.14
"51","1994-03-01",1.9,445.77
"52","1994-04-04",2.07,450.91
"53","1994-05-02",2.41,456.5
"54","1994-06-01",2.31,444.27
"55","1994-07-01",2.31,458.26
"56","1994-08-01",2.6,475.49
"57","1994-09-01",2.51,462.69
"58","1994-10-03",2.82,472.35
"59","1994-11-01",2.82,453.69
"60","1994-12-01",2.74,459.27
"61","1995-01-03",2.66,470.42
"62","1995-02-01",2.82,487.39
"63","1995-03-01",3.19,500.71
"64","1995-04-03",3.66,514.71
"65","1995-05-01",3.79,533.41
"66","1995-06-01",4.05,544.75
"67","1995-07-03",4.05,562.06
"68","1995-08-01",4.14,561.88
"69","1995-09-01",4.05,584.41
"70","1995-10-02",4.48,581.5
"71","1995-11-01",3.9,605.37
"72","1995-12-01",3.93,615.93
"73","1996-01-02",4.14,636.02
"74","1996-02-01",4.42,640.43
"75","1996-03-01",4.62,645.5
"76","1996-04-01",5.07,654.17
"77","1996-05-01",5.32,669.12
"78","1996-06-03",5.38,670.63
"79","1996-07-01",5.28,639.95
"80","1996-08-01",5.49,651.99
"81","1996-09-03",5.91,687.31
"82","1996-10-01",6.15,705.27
"83","1996-11-01",7.03,757.02
"84","1996-12-02",7.4,740.74
"85","1997-01-02",9.14,786.16
"86","1997-02-03",8.73,790.82
"87","1997-03-03",8.21,757.12
"88","1997-04-01",10.88,801.34
"89","1997-05-01",11.11,848.28
"90","1997-06-02",11.32,885.14
"91","1997-07-01",12.66,954.29
"92","1997-08-01",11.84,899.47
"93","1997-09-02",11.85,947.28
"94","1997-10-01",11.65,914.62
"95","1997-11-03",12.68,955.4
"96","1997-12-01",11.58,970.43
"97","1998-01-02",13.36,980.28
"98","1998-02-02",15.18,1049.34
"99","1998-03-02",16.03,1101.75
"100","1998-04-01",16.15,1111.75
"101","1998-05-01",15.19,1090.82
"102","1998-06-01",19.42,1133.84
"103","1998-07-01",19.7,1120.67
"104","1998-08-03",17.19,957.28
"105","1998-09-01",19.72,1017.01
"106","1998-10-01",18.97,1098.67
"107","1998-11-02",21.86,1163.63
"108","1998-12-01",24.85,1229.23
"109","1999-01-04",31.35,1279.64
"110","1999-02-01",26.9,1238.33
"111","1999-03-01",32.11,1286.37
"112","1999-04-01",29.14,1335.18
"113","1999-05-03",28.91,1301.84
"114","1999-06-01",32.32,1372.71
"115","1999-07-01",30.75,1328.72
"116","1999-08-02",33.17,1320.41
"117","1999-09-01",32.45,1282.71
"118","1999-10-01",33.17,1362.93
"119","1999-11-01",32.62,1388.91
"120","1999-12-01",41.83,1469.25
"121","2000-01-03",35.07,1394.46
"122","2000-02-01",32.02,1366.42
"123","2000-03-01",38.07,1498.58
"124","2000-04-03",24.99,1452.43
"125","2000-05-01",22.42,1420.6
"126","2000-06-01",28.67,1454.6
"127","2000-07-03",25.01,1430.83
"128","2000-08-01",25.01,1517.68
"129","2000-09-01",21.61,1436.51
"130","2000-10-02",24.68,1429.4
"131","2000-11-01",20.56,1314.95
"132","2000-12-01",15.54,1320.28
